ID,0,1,2,3,4,5,6,7,8,9,10
1,whole milk,eggs,salty snack,,,,,,,,
2,whole milk,eggs,white bread,yogurt,,,,,,,
3,whole milk,eggs,,,,,,,,,
4,whole milk,eggs,,,,,,,,,
5,whole milk,eggs,,,,,,,,,
6,whole milk,eggs,rolls/buns,,,,,,,,
7,whole milk,eggs,,,,,,,,,
8,whole milk,eggs,whipped/sour cream,,,,,,,,
9,whole milk,eggs,,,,,,,,,
10,whole milk,eggs,,,,,,,,,
11,whole milk,eggs,eggs,,,,,,,,
12,whole milk,eggs,,,,,,,,,
13,whole milk,eggs,,,,,,,,,
14,whole milk,eggs,,,,,,,,,
15,whole milk,eggs,,,,,,,,,
16,whole milk,eggs,whole milk,,,,,,,,
17,whole milk,eggs,,,,,,,,,
18,whole milk,eggs,eggs,,,,,,,,
19,whole milk,eggs,,,,,,,,,
20,whole milk,eggs,rolls/buns,,,,,,,,
21,whole milk,eggs,tropical fruit,,,,,,,,
22,whole milk,eggs,pastry,,,,,,,,
23,whole milk,eggs,chocolate,eggs,,,,,,,
24,whole milk,eggs,,,,,,,,,
25,whole milk,eggs,packaged fruit/vegetables,rolls/buns,,,,,,,
26,whole milk,eggs,,,,,,,,,
27,whole milk,eggs,eggs,,,,,,,,
28,whole milk,eggs,eggs,,,,,,,,
29,whole milk,eggs,rolls/buns,,,,,,,,
30,whole milk,eggs,,,,,,,,,
31,whole milk,eggs,,,,,,,,,
32,whole milk,eggs,chicken,berries,flour,chocolate,bottled beer,rolls/buns,,,
33,whole milk,eggs,liver loaf,cake,,,,,,,
34,whole milk,eggs,yogurt,root vegetables,yogurt,eggs,white wine,photo/film,,,
35,whole milk,eggs,,,,,,,,,
36,whole milk,eggs,newspapers,,,,,,,,
37,whole milk,eggs,,,,,,,,,
38,whole milk,eggs,,,,,,,,,
39,whole milk,eggs,whole milk,,,,,,,,
40,whole milk,eggs,,,,,,,,,
41,whole milk,eggs,,,,,,,,,
42,whole milk,eggs,eggs,,,,,,,,
43,whole milk,eggs,rolls/buns,,,,,,,,
44,whole milk,eggs,,,,,,,,,
45,whole milk,eggs,bottled water,rolls/buns,,,,,,,
46,whole milk,eggs,candles,grapes,herbs,other vegetables,yogurt,,,,
47,whole milk,eggs,,,,,,,,,
48,whole milk,eggs,,,,,,,,,
49,whole milk,eggs,,,,,,,,,
50,whole milk,eggs,rolls/buns,onions,shopping bags,,,,,,
51,whole milk,eggs,bottled water,,,,,,,,
52,whole milk,eggs,eggs,,,,,,,,
53,whole milk,eggs,,,,,,,,,
54,whole milk,eggs,,,,,,,,,
55,whole milk,eggs,,,,,,,,,
56,whole milk,eggs,,,,,,,,,
57,whole milk,eggs,,,,,,,,,
58,whole milk,eggs,eggs,roll products ,,,,,,,
59,whole milk,eggs,,,,,,,,,
60,whole milk,eggs,eggs,,,,,,,,
61,whole milk,eggs,bottled beer,yogurt,,,,,,,
62,whole milk,eggs,,,,,,,,,
63,whole milk,eggs,chocolate,,,,,,,,
64,whole milk,eggs,,,,,,,,,
65,whole milk,eggs,eggs,,,,,,,,
66,whole milk,pip fruit,,,,,,,,,
67,whole milk,bottled beer,,,,,,,,,
68,whole milk,red wine,,,,,,,,,
69,whole milk,berries,oil,pip fruit,mayonnaise,,,,,,
70,whole milk,root vegetables,,,,,,,,,
71,whole milk,beef,eggs,,,,,,,,
72,whole milk,pet care,eggs,cat food,,,,,,,
73,whole milk,rolls/buns,eggs,,,,,,,,
74,whole milk,cake,shopping bags,,,,,,,,
75,whole milk,long life bakery product,,,,,,,,,
76,whole milk,eggs,,,,,,,,,
77,whole milk,cake,eggs,,,,,,,,
78,whole milk,root vegetables,,,,,,,,,
79,whole milk,red wine,,,,,,,,,
80,whole milk,butter,newspapers,yogurt,,,,,,,
81,whole milk,shopping bags,,,,,,,,,
82,whole milk,spices,rolls/buns,frozen fish,,,,,,,
83,whole milk,butter,,,,,,,,,
84,whole milk,baking powder,,,,,,,,,
85,whole milk,jam,yogurt,tropical fruit,,,,,,,
86,whole milk,napkins,,,,,,,,,
87,whole milk,whipped/sour cream,,,,,,,,,
88,whole milk,fruit/vegetable juice,white bread,,,,,,,,
89,whole milk,frozen meals,eggs,,,,,,,,
90,whole milk,jam,,,,,,,,,
91,whole milk,soda,,,,,,,,,
92,whole milk,whipped/sour cream,grapes,,,,,,,,
93,whole milk,root vegetables,rolls/buns,packaged fruit/vegetables,,,,,,,
94,whole milk,bottled beer,yogurt,berries,,,,,,,
95,whole milk,root vegetables,tropical fruit,other vegetables,,,,,,,
96,whole milk,shopping bags,eggs,,,,,,,,
97,whole milk,cream cheese ,eggs,,,,,,,,
98,whole milk,whole milk,eggs,,,,,,,,
99,whole milk,long life bakery product,,,,,,,,,
100,whole milk,cake,rolls/buns,pickled vegetables,,,,,,,
101,whole milk,yogurt,,,,,,,,,
102,whole milk,salty snack,chocolate,dental care,butter,,,,,,
103,whole milk,whipped/sour cream,root vegetables,canned beer,,,,,,,
104,whole milk,salt,whole milk,,,,,,,,
105,whole milk,bottled water,eggs,,,,,,,,
106,whole milk,red wine,eggs,,,,,,,,
107,whole milk,beef,eggs,,,,,,,,
108,whole milk,baking powder,onions,bottled water,eggs,,,,,,
109,whole milk,sugar,eggs,,,,,,,,
110,whole milk,butter,,,,,,,,,
111,whole milk,canned beer,flower (seeds),,,,,,,,
112,whole milk,root vegetables,,,,,,,,,
113,whole milk,ham,eggs,,,,,,,,
114,whole milk,pot plants,,,,,,,,,
115,whole milk,cream cheese ,,,,,,,,,
116,whole milk,other vegetables,berries,,,,,,,,
117,whole milk,newspapers,,,,,,,,,
118,whole milk,whole milk,pastry,shopping bags,,,,,,,
119,whole milk,soda,butter,other vegetables,white bread,cream cheese ,,,,,
120,whole milk,whipped/sour cream,eggs,,,,,,,,
121,whole milk,root vegetables,eggs,,,,,,,,
122,whole milk,pastry,eggs,,,,,,,,
123,whole milk,cake,,,,,,,,,
124,whole milk,waffles,rolls/buns,,,,,,,,
125,whole milk,soda,rolls/buns,,,,,,,,
126,whole milk,waffles,,,,,,,,,
127,whole milk,cling film/bags,yogurt,cat food,,,,,,,
128,whole milk,eggs,frozen meals,,,,,,,,
129,whole milk,newspapers,,,,,,,,,
130,whole milk,frozen vegetables,,,,,,,,,
131,whole milk,white wine,white bread,salt,,,,,,,
132,whole milk,yogurt,yogurt,rolls/buns,,,,,,,
133,whole milk,frozen vegetables,,,,,,,,,
134,whole milk,newspapers,,,,,,,,,
135,whole milk,vinegar,,,,,,,,,
136,whole milk,white bread,rolls/buns,,,,,,,,
137,whole milk,shopping bags,chewing gum,cake,,,,,,,
138,whole milk,yogurt,canned beer,,,,,,,,
139,whole milk,napkins,,,,,,,,,
140,whole milk,pip fruit,whipped/sour cream,,,,,,,,
141,whole milk,pork,butter,whole milk,fruit/vegetable juice,,,,,,
142,whole milk,herbs,frozen meals,,,,,,,,
143,whole milk,specialty chocolate,,,,,,,,,
144,whole milk,whipped/sour cream,butter,cake,,,,,,,
145,whole milk,rolls/buns,,,,,,,,,
146,whole milk,pasta,rolls/buns,,,,,,,,
147,whole milk,rolls/buns,eggs,,,,,,,,
148,whole milk,white bread,,,,,,,,,
149,whole milk,chicken,onions,packaged fruit/vegetables,,,,,,,
150,whole milk,frozen vegetables,chocolate,,,,,,,,
151,whole milk,brown bread,whole milk,,,,,,,,
152,whole milk,cake,,,,,,,,,
153,whole milk,yogurt,,,,,,,,,
154,whole milk,bottled water,,,,,,,,,
155,whole milk,other vegetables,eggs,,,,,,,,
156,whole milk,cake,,,,,,,,,
157,whole milk,sliced cheese,,,,,,,,,
158,whole milk,whole milk,chocolate,,,,,,,,
159,whole milk,rolls/buns,whole milk,,,,,,,,
160,whole milk,other vegetables,,,,,,,,,
161,whole milk,jam,,,,,,,,,
162,whole milk,specialty chocolate,chocolate,,,,,,,,
163,whole milk,yogurt,butter,yogurt,,,,,,,
164,whole milk,onions,,,,,,,,,
165,whole milk,pastry,eggs,,,,,,,,
166,whole milk,bottled water,,,,,,,,,
167,whole milk,soda,,,,,,,,,
168,whole milk,soda,,,,,,,,,
169,whole milk,butter,,,,,,,,,
170,whole milk,condensed milk,whole milk,soda,eggs,,,,,,
171,whole milk,tropical fruit,,,,,,,,,
172,whole milk,margarine,,,,,,,,,
173,whole milk,whole milk,,,,,,,,,
174,whole milk,chocolate,,,,,,,,,
175,whole milk,herbs,,,,,,,,,
176,whole milk,beverages,,,,,,,,,
177,whole milk,yogurt,cat food,,,,,,,,
178,whole milk,yogurt,eggs,,,,,,,,
179,whole milk,hygiene articles,,,,,,,,,
180,whole milk,other vegetables,dishes,,,,,,,,
181,whole milk,whole milk,eggs,,,,,,,,
182,whole milk,bottled beer,,,,,,,,,
183,whole milk,coffee,frozen vegetables,,,,,,,,
184,whole milk,shopping bags,,,,,,,,,
185,whole milk,tropical fruit,red wine,cream cheese ,,,,,,,
186,whole milk,soda,rolls/buns,dishes,,,,,,,
187,whole milk,other vegetables,beef,popcorn,chocolate,,,,,,
188,whole milk,grapes,,,,,,,,,
189,whole milk,beverages,coffee,,,,,,,,
190,whole milk,shopping bags,,,,,,,,,
191,whole milk,beef,,,,,,,,,
192,whole milk,dog food,,,,,,,,,
193,whole milk,whole milk,,,,,,,,,
194,whole milk,chewing gum,popcorn,,,,,,,,
195,whole milk,whipped/sour cream,,,,,,,,,
196,whole milk,yogurt,yogurt,margarine,,,,,,,
197,whole milk,other vegetables,yogurt,shopping bags,soft cheese,detergent,,,,,
198,whole milk,soda,,,,,,,,,
199,whole milk,frozen vegetables,,,,,,,,,
200,whole milk,rolls/buns,eggs,,,,,,,,
201,whole milk,sugar,,,,,,,,,
202,whole milk,whole milk,,,,,,,,,
203,whole milk,pastry,,,,,,,,,
204,whole milk,fruit/vegetable juice,,,,,,,,,
205,whole milk,oil,,,,,,,,,
206,whole milk,citrus fruit,margarine,,,,,,,,
207,whole milk,other vegetables,,,,,,,,,
208,whole milk,white wine,,,,,,,,,
209,whole milk,yogurt,newspapers,soda,,,,,,,
210,whole milk,whole milk,eggs,,,,,,,,
211,whole milk,beef,,,,,,,,,
212,whole milk,other vegetables,,,,,,,,,
213,whole milk,pickled vegetables,,,,,,,,,
214,whole milk,eggs,sliced cheese,soda,,,,,,,
215,whole milk,whole milk,,,,,,,,,
216,whole milk,other vegetables,,,,,,,,,
217,whole milk,root vegetables,,,,,,,,,
218,whole milk,bottled water,,,,,,,,,
219,whole milk,other vegetables,,,,,,,,,
220,whole milk,salty snack,cling film/bags,,,,,,,,
221,whole milk,spread cheese,,,,,,,,,
222,whole milk,fruit/vegetable juice,bottled beer,,,,,,,,
223,whole milk,chocolate,,,,,,,,,
224,whole milk,hard cheese,eggs,,,,,,,,
225,whole milk,cake,eggs,,,,,,,,
226,whole milk,tropical fruit,root vegetables,chocolate,margarine,,,,,,
227,whole milk,sauces,,,,,,,,,
228,ham,whipped/sour cream,ketchup,,,,,,,,
229,white bread,frozen fruits,,,,,,,,,
230,tropical fruit,whole milk,other vegetables,long life bakery product,,,,,,,
231,other vegetables,yogurt,whole milk,butter,shopping bags,,,,,,
232,whole milk,citrus fruit,eggs,,,,,,,,
233,rolls/buns,chocolate,popcorn,,,,,,,,
234,root vegetables,whole milk,eggs,,,,,,,,
235,cream cheese ,rolls/buns,,,,,,,,,
236,long life bakery product,root vegetables,other vegetables,,,,,,,,
237,tropical fruit,whole milk,long life bakery product,rum,,,,,,,
238,beef,soda,,,,,,,,,
239,tropical fruit,rolls/buns,,,,,,,,,
240,red wine,frozen fish,,,,,,,,,
241,beef,cake,,,,,,,,,
242,berries,tropical fruit,,,,,,,,,
243,root vegetables,bottled beer,,,,,,,,,
244,whole milk,other vegetables,,,,,,,,,
245,oil,shopping bags,,,,,,,,,
246,whole milk,tropical fruit,,,,,,,,,
247,rolls/buns,tropical fruit,coffee,chocolate,,,,,,,
248,beef,pork,,,,,,,,,
249,soda,yogurt,,,,,,,,,
250,pork,spread cheese,,,,,,,,,
251,pork,rolls/buns,,,,,,,,,
252,brown bread,fruit/vegetable juice,,,,,,,,,
253,salt,eggs,,,,,,,,,
254,bottled beer,tropical fruit,sliced cheese,dishes,,,,,,,
255,cream cheese ,newspapers,,,,,,,,,
256,citrus fruit,red wine,,,,,,,,,
257,yogurt,roll products ,fruit/vegetable juice,,,,,,,,
258,ham,other vegetables,,,,,,,,,
259,berries,canned beer,,,,,,,,,
260,brown bread,salt,,,,,,,,,
261,yogurt,bottled water,eggs,,,,,,,,
262,brown bread,brown bread,dishes,,,,,,,,
263,pip fruit,jam,pip fruit,prosecco,,,,,,,
264,detergent,chocolate,,,,,,,,,
265,white bread,ketchup,,,,,,,,,
266,oil,shopping bags,,,,,,,,,
267,misc. beverages,coffee,,,,,,,,,
268,fruit/vegetable juice,flower (seeds),,,,,,,,,
269,whole milk,canned fish,,,,,,,,,
270,pip fruit,rolls/buns,,,,,,,,,
271,berries,frozen meals,dishes,,,,,,,,
272,berries,citrus fruit,bottled water,fruit/vegetable juice,,,,,,,
273,berries,brown bread,,,,,,,,,
274,berries,chicken,butter,bottled water,,,,,,,
